nmr	mb	Nsamples	spearmanR	p.value	FDR	FWER
"XS_VLDL_TG_percent"	"PWY-6317"	297	0.250194214959316	1.36687132860668e-05	0.0146511627906977	0.23
"XS_VLDL_TG_percent"	"PWY-6527"	297	0.258823039024381	6.69652239725631e-06	0.0103448275862069	0.09
"XS_VLDL_TG_percent"	"PWY0-1296"	297	0.264805226214622	4.02421153218105e-06	0.0064	0.06
"XS_VLDL_TG_percent"	"PWY66-422"	297	0.250194214959316	1.36687132860668e-05	0.0146511627906977	0.23
"XS_VLDL_TG_percent"	"TCA"	297	-0.233469283804854	5.08270884915564e-05	0.0317567567567568	0.54
"IDL_C_percent"	"GOLPDLCAT-PWY"	297	-0.248582780461975	1.55743910207319e-05	0.0152173913043478	0.27
"IDL_C_percent"	"PWY-6317"	297	-0.270544186651569	2.44105092924042e-06	0.00285714285714286	0.02
"IDL_C_percent"	"PWY-6527"	297	-0.28714681734816	5.39406069346578e-07	0	0
"IDL_C_percent"	"PWY0-1296"	297	-0.305865658214652	8.75715780898187e-08	0	0
"IDL_C_percent"	"PWY66-422"	297	-0.270544186651569	2.44105092924042e-06	0.00285714285714286	0.02
"IDL_FC_percent"	"PWY0-1296"	297	-0.233215979860275	5.18120304550954e-05	0.0322666666666667	0.54
"IDL_TG_percent"	"COA-PWY"	297	0.226129424116001	8.79029535089262e-05	0.045	0.7
"IDL_TG_percent"	"GOLPDLCAT-PWY"	297	0.272665435417113	2.02348497433777e-06	0.00333333333333333	0.02
"IDL_TG_percent"	"PWY-5667"	297	0.23515263280364	4.47171269546616e-05	0.0285915492957746	0.49
"IDL_TG_percent"	"PWY-6121"	297	0.231063583412577	6.09392791949856e-05	0.0348235294117647	0.62
"IDL_TG_percent"	"PWY-6317"	297	0.289947818471308	4.14192574271439e-07	0	0
"IDL_TG_percent"	"PWY-6527"	297	0.300404736646347	1.50768446694212e-07	0	0
"IDL_TG_percent"	"PWY0-1296"	297	0.321600734352412	1.72214979476805e-08	0	0
"IDL_TG_percent"	"PWY0-1319"	297	0.239101975679157	3.29928000913019e-05	0.0232786885245902	0.42
"IDL_TG_percent"	"PWY66-422"	297	0.289947818471308	4.14192574271439e-07	0	0
"IDL_TG_percent"	"TCA"	297	-0.228334038736723	7.47018459559491e-05	0.0395652173913043	0.65
"L_LDL_C_percent"	"PWY-6317"	297	-0.231768986802544	5.77929009468188e-05	0.0348148148148148	0.6
"L_LDL_C_percent"	"PWY-6527"	297	-0.239056628318373	3.31091409222063e-05	0.0230645161290323	0.42
"L_LDL_C_percent"	"PWY0-1296"	297	-0.293048845062268	3.081794339932e-07	0	0
"L_LDL_C_percent"	"PWY0-1319"	297	-0.226126675791105	8.79207024152854e-05	0.0445454545454545	0.7
"L_LDL_C_percent"	"PWY66-422"	297	-0.231768986802544	5.77929009468188e-05	0.0348148148148148	0.6
"L_LDL_TG_percent"	"GOLPDLCAT-PWY"	297	0.25090832137812	1.28970230115793e-05	0.0151219512195122	0.22
"L_LDL_TG_percent"	"NONOXIPENT-PWY"	297	0.224654489755161	9.79285299903635e-05	0.049126213592233	0.73
"L_LDL_TG_percent"	"PWY-5667"	297	0.244683365488735	2.1283446139898e-05	0.0167924528301887	0.31
"L_LDL_TG_percent"	"PWY-6317"	297	0.277874885257436	1.26814252588228e-06	0.00214285714285714	0.01
"L_LDL_TG_percent"	"PWY-6527"	297	0.282832863369776	8.05863056792223e-07	0	0
"L_LDL_TG_percent"	"PWY-7199"	297	0.22427247259462	0.000100695287610758	0.0495238095238095	0.76
"L_LDL_TG_percent"	"PWY0-1296"	297	0.320482624173899	1.93898254156424e-08	0	0
"L_LDL_TG_percent"	"PWY0-1319"	297	0.246197234452268	1.88644130433191e-05	0.016875	0.3
"L_LDL_TG_percent"	"PWY66-422"	297	0.277874885257436	1.26814252588228e-06	0.00214285714285714	0.01
"M_LDL_C_percent"	"PWY0-1296"	297	-0.264326559628573	4.1934361074965e-06	0.00653846153846154	0.06
"M_LDL_TG_percent"	"GOLPDLCAT-PWY"	297	0.224334767958929	0.00010023915419916	0.0498076923076923	0.76
"M_LDL_TG_percent"	"PWY-6317"	297	0.255101349061081	9.13734457267987e-06	0.012	0.15
"M_LDL_TG_percent"	"PWY-6527"	297	0.265335194865396	3.84445775618472e-06	0.00583333333333333	0.05
"M_LDL_TG_percent"	"PWY0-1296"	297	0.278363170980621	1.21321981951288e-06	0.0025	0.01
"M_LDL_TG_percent"	"PWY66-422"	297	0.255101349061081	9.13734457267987e-06	0.012	0.15
"S_LDL_C_percent"	"PWY-6527"	297	-0.22508506065553	9.48958681538929e-05	0.0479207920792079	0.71
"S_LDL_C_percent"	"PWY0-1296"	297	-0.276703640797601	1.409762714037e-06	0.002	0.01
"S_LDL_TG_percent"	"COA-PWY"	297	0.229000507523997	7.1094183214977e-05	0.0397701149425287	0.63
"S_LDL_TG_percent"	"GOLPDLCAT-PWY"	297	0.239354363515437	3.23523219750434e-05	0.0235	0.42
"S_LDL_TG_percent"	"PWY-6317"	297	0.264046688543333	4.2955039436887e-06	0.00607142857142857	0.06
"S_LDL_TG_percent"	"PWY-6527"	297	0.271086522764375	2.32706860560974e-06	0.00315789473684211	0.02
"S_LDL_TG_percent"	"PWY0-1296"	297	0.284299094701779	7.0359139744428e-07	0	0
"S_LDL_TG_percent"	"PWY66-422"	297	0.264046688543333	4.2955039436887e-06	0.00607142857142857	0.06
"XL_HDL_FC_percent"	"PWY-6969"	297	-0.235456780758794	4.36899845858557e-05	0.0284057971014493	0.48
"XL_HDL_FC_percent"	"TCA"	297	-0.255454050756064	8.87390707306364e-06	0.013125	0.15
"LA_FA_ratio"	"PWY-6969"	297	0.243418677982436	2.35269766066691e-05	0.0178571428571429	0.32
"LA_FA_ratio"	"TCA"	297	0.236815827419854	3.93666580960937e-05	0.026969696969697	0.45
"MUFA_FA_ratio"	"TCA"	297	-0.246185325044385	1.8882382159269e-05	0.016530612244898	0.3
"Ala"	"PWY-5100"	297	0.23681170493251	3.93791384591459e-05	0.0265671641791045	0.45
"Ile"	"PWY-5100"	297	0.234075747498566	4.85402612446343e-05	0.0309722222222222	0.53
"Leu"	"PWY-5101"	297	0.227514121809424	7.93768036925662e-05	0.0412631578947368	0.67
"Gp"	"PWY-5004"	276	-0.240281959446926	5.78590231267593e-05	0.0345121951219512	0.61
"Gp"	"PWY-5100"	297	0.230567052714704	6.32501293376686e-05	0.0352325581395349	0.62
"FALen"	"PWY0-1296"	297	0.25248631792256	1.13360027599632e-05	0.0159459459459459	0.21
"Pyr"	"LACTOSECAT-PWY"	297	0.231447432789715	5.92076620544455e-05	0.0345238095238095	0.61

