nmr	path	path.name	path.class	rval	Pval	fdr	fwer
M_VLDL_CE_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.17355512	4.95E-08	0	0
M_VLDL_CE_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.163445986	2.86E-07	0	0
M_VLDL_CE_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.164639622	2.34E-07	0	0
M_VLDL_CE_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.17224109	6.25E-08	0	0
S_VLDL_C_percent	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	0.169357418	1.04E-07	0	0
S_VLDL_C_percent	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	0.173819585	4.72E-08	0	0
S_VLDL_C_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.175000933	3.82E-08	0	0
S_VLDL_C_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.184886831	6.10E-09	0	0
S_VLDL_C_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.191590249	1.66E-09	0	0
S_VLDL_C_percent	PWY-2201	PWY-2201: folate transformations I	Vitamin-Biosynthesis	0.16304268	3.07E-07	0	0
S_VLDL_C_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.193469834	1.15E-09	0	0
S_VLDL_CE_percent	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	0.173315079	5.16E-08	0	0
S_VLDL_CE_percent	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	0.177287107	2.52E-08	0	0
S_VLDL_CE_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.173900352	4.65E-08	0	0
S_VLDL_CE_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.185573934	5.35E-09	0	0
S_VLDL_CE_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.184275234	6.86E-09	0	0
S_VLDL_CE_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.189093807	2.71E-09	0	0
S_VLDL_FC_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.175555328	3.45E-08	0	0
S_VLDL_TG_percent	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	-0.177744034	2.32E-08	0	0
S_VLDL_TG_percent	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	-0.1721892	6.31E-08	0	0
S_VLDL_TG_percent	PWY0-1586	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	Cell Structures Biosynthesis	0.167521461	1.43E-07	0	0
S_VLDL_TG_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	-0.185556667	5.37E-09	0	0
S_VLDL_TG_percent	PWY490-3	PWY490-3: nitrate reduction VI (assimilatory)	Inorganic Nutrients Metabolism	-0.16540685	2.05E-07	0	0
S_VLDL_TG_percent	PWY-7654	"PWY-7654: (8E,10E)-dodeca-8,10-dienol biosynthesis"	HORMONE-SYN	-0.16829501	1.29E-07	0	0
S_VLDL_TG_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.197102198	5.51E-10	0	0
XS_VLDL_C_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.163350711	2.91E-07	0	0
XS_VLDL_FC_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.171283697	7.41E-08	0	0
XS_VLDL_TG_percent	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	-0.186030733	4.91E-09	0	0
XS_VLDL_TG_percent	PWY-6383	"PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis"	Polyprenyl-Biosynthesis	-0.165640426	1.97E-07	0	0
XS_VLDL_TG_percent	ANAEROFRUCAT-PWY	ANAEROFRUCAT-PWY: homolactic fermentation	Fermentation	-0.164838446	2.26E-07	0	0
XS_VLDL_TG_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	-0.175114526	3.74E-08	0	0
XS_VLDL_TG_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	-0.16538884	2.06E-07	0	0
XS_VLDL_TG_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	-0.174789717	3.96E-08	0	0
XS_VLDL_TG_percent	PWY-5484	PWY-5484: glycolysis II (from fructose 6-phosphate)	Glycolysis	-0.169149011	1.08E-07	0	0
XS_VLDL_TG_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.196470282	6.27E-10	0	0
IDL_C_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.167314722	1.48E-07	0	0
IDL_FC_percent	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	0.18215131	1.02E-08	0	0
IDL_FC_percent	PWY-6383	"PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis"	Polyprenyl-Biosynthesis	0.196971094	5.66E-10	0	0
IDL_FC_percent	ANAEROFRUCAT-PWY	ANAEROFRUCAT-PWY: homolactic fermentation	Fermentation	0.164154422	2.54E-07	0	0
IDL_FC_percent	PWY-6703	PWY-6703: preQ0 biosynthesis	Secondary Metabolites Biosynthesis	0.189584036	2.47E-09	0	0
IDL_FC_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.192087392	1.51E-09	0	0
IDL_FC_percent	PWY-6165	PWY-6165: chorismate biosynthesis II (archaea)	Aromatic Compounds Biosynthesis	0.178674924	2.23E-08	0	0
IDL_FC_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.18428583	6.84E-09	0	0
IDL_FC_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.182092673	1.04E-08	0	0
IDL_FC_percent	P261-PWY	P261-PWY: coenzyme M biosynthesis I	Cofactor-Biosynthesis	0.18047319	5.84E-08	0	0
IDL_FC_percent	PWY-5484	PWY-5484: glycolysis II (from fructose 6-phosphate)	Glycolysis	0.172346718	6.14E-08	0	0
IDL_FC_percent	PWY66-399	PWY66-399: gluconeogenesis III	Carbohydrates Biosynthesis	0.162460884	3.38E-07	0	0
IDL_FC_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.169834472	9.56E-08	0	0
IDL_FC_percent	PWY-241	"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	Photosynthesis	0.197835752	4.75E-10	0	0
IDL_TG_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.165639284	1.97E-07	0	0
L_LDL_C_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.170024894	9.24E-08	0	0
S_LDL_C_percent	PWY-6703	PWY-6703: preQ0 biosynthesis	Secondary Metabolites Biosynthesis	0.16335107	2.91E-07	0	0
S_LDL_C_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.177095865	2.61E-08	0	0
S_LDL_C_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.18141945	1.17E-08	0	0
S_LDL_C_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.164233264	2.51E-07	0	0
S_LDL_C_percent	PWY66-399	PWY66-399: gluconeogenesis III	Carbohydrates Biosynthesis	0.17280022	5.66E-08	0	0
S_LDL_C_percent	PWY-7383	"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)"	Fermentation	0.170447852	8.58E-08	0	0
L_HDL_FC_percent	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	0.165483768	2.03E-07	0	0
VLDL_D	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	-0.191682676	1.63E-09	0	0
VLDL_D	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	-0.1638995	2.65E-07	0	0
VLDL_D	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.170356874	8.72E-08	0	0
VLDL_D	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.166532575	1.69E-07	0	0
VLDL_D	PWY490-3	PWY490-3: nitrate reduction VI (assimilatory)	Inorganic Nutrients Metabolism	-0.169179542	1.07E-07	0	0
VLDL_D	PWY-7654	"PWY-7654: (8E,10E)-dodeca-8,10-dienol biosynthesis"	HORMONE-SYN	-0.181068704	1.30E-08	0	0
VLDL_D	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.190000516	2.27E-09	0	0
VLDL_TG	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	-0.16286324	3.16E-07	0	0
VLDL_TG	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.163231896	2.97E-07	0	0
VLDL_TG	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.167898815	1.34E-07	0	0
TG_PG_ratio	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.175320842	3.60E-08	0	0
FAw6_FA_ratio	GOLPDLCAT-PWY	"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	Alcohol-Degradation	-0.165221406	2.12E-07	0	0
FAw6_FA_ratio	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	0.16526447	2.10E-07	0	0
FAw6_FA_ratio	PWY66-399	PWY66-399: gluconeogenesis III	Carbohydrates Biosynthesis	0.162649304	3.28E-07	0	0
FAw6_FA_ratio	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.165504383	2.02E-07	0	0
PUFA_FA_ratio	GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Glycolysis	0.175470739	3.51E-08	0	0
PUFA_FA_ratio	PWY66-399	PWY66-399: gluconeogenesis III	Carbohydrates Biosynthesis	0.179454224	1.69E-08	0	0
PUFA_FA_ratio	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.169324436	1.04E-07	0	0
PUFA_FA_ratio	PWY-7383	"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)"	Fermentation	0.174580002	4.12E-08	0	0
S_VLDL_CE_percent	PWY-2201	PWY-2201: folate transformations I	Vitamin-Biosynthesis	0.162267961	3.49E-07	9.01E-05	0.01
S_VLDL_FC_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.162158844	3.56E-07	8.85E-05	0.01
Serum_TG	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.162262971	3.49E-07	8.93E-05	0.01
PUFA_FA_ratio	PWY-2201	PWY-2201: folate transformations I	Vitamin-Biosynthesis	0.162289127	3.48E-07	9.09E-05	0.01
XXL_VLDL_P	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.15998974	5.10E-07	0.000223881	0.02
XXL_VLDL_P	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.157333536	7.88E-07	0.000182927	0.02
XXL_VLDL_L	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.15959104	5.45E-07	0.000217391	0.02
XXL_VLDL_L	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.156901971	8.45E-07	0.000238095	0.02
XXL_VLDL_PL	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.161266503	4.13E-07	0.000243902	0.02
XXL_VLDL_PL	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.157564046	7.59E-07	0.000189873	0.02
XXL_VLDL_FC	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.156395899	9.17E-07	0.000235294	0.02
XXL_VLDL_TG	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.161234766	4.15E-07	0.000241935	0.02
XXL_VLDL_TG	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.158656263	6.35E-07	0.000208333	0.02
XL_VLDL_P	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.161340881	4.08E-07	0.00025	0.02
XL_VLDL_L	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.161338521	4.08E-07	0.000247934	0.02
XL_VLDL_PL	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.159769724	5.29E-07	0.000222222	0.02
XL_VLDL_C	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.158606323	6.40E-07	0.000206897	0.02
XL_VLDL_C	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.156814482	8.57E-07	0.000236686	0.02
XL_VLDL_FC	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.15885079	6.15E-07	0.00020979	0.02
XL_VLDL_FC	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.15749648	7.67E-07	0.000185185	0.02
XL_VLDL_TG	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.160035062	5.06E-07	0.000225564	0.02
XL_VLDL_TG	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.157545432	7.61E-07	0.000188679	0.02
M_VLDL_P	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.16145518	4.00E-07	0.000254237	0.02
M_VLDL_P	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.157421512	7.77E-07	0.000184049	0.02
M_VLDL_L	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.160529062	4.66E-07	0.000232558	0.02
M_VLDL_PL	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.160286456	4.86E-07	0.000229008	0.02
M_VLDL_PL	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.157827242	7.27E-07	0.000198675	0.02
XS_VLDL_CE	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.157516389	7.65E-07	0.000186335	0.02
IDL_C	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.159524128	5.51E-07	0.000215827	0.02
IDL_FC	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.161273289	4.12E-07	0.000245902	0.02
S_HDL_PL	NONOXIPENT-PWY	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	Pentose-Phosphate-Cycle	0.160210731	4.92E-07	0.000227273	0.02
S_HDL_FC	GOLPDLCAT-PWY	"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	Alcohol-Degradation	0.161515344	3.96E-07	0.00025641	0.02
M_VLDL_C_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.160689081	4.54E-07	0.00023622	0.02
M_VLDL_C_percent	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.157806191	7.30E-07	0.000197368	0.02
S_VLDL_C_percent	PWY-6383	"PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis"	Polyprenyl-Biosynthesis	0.157523509	7.64E-07	0.0001875	0.02
S_VLDL_C_percent	PWY66-399	PWY66-399: gluconeogenesis III	Carbohydrates Biosynthesis	0.158347155	6.68E-07	0.000202703	0.02
S_VLDL_CE_percent	PWY-5484	PWY-5484: glycolysis II (from fructose 6-phosphate)	Glycolysis	0.161661342	3.86E-07	0.00026087	0.02
S_VLDL_CE_percent	PWY66-399	PWY66-399: gluconeogenesis III	Carbohydrates Biosynthesis	0.161834432	3.75E-07	0.000175439	0.02
S_VLDL_TG_percent	PWY-2201	PWY-2201: folate transformations I	Vitamin-Biosynthesis	-0.160764087	4.49E-07	0.000238095	0.02
XS_VLDL_TG_percent	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	-0.159692806	5.36E-07	0.000220588	0.02
XS_VLDL_TG_percent	PWY490-3	PWY490-3: nitrate reduction VI (assimilatory)	Inorganic Nutrients Metabolism	-0.159099515	5.90E-07	0.000214286	0.02
XS_VLDL_TG_percent	PWY66-399	PWY66-399: gluconeogenesis III	Carbohydrates Biosynthesis	-0.158926681	6.07E-07	0.000211268	0.02
XS_VLDL_TG_percent	PWY-7654	"PWY-7654: (8E,10E)-dodeca-8,10-dienol biosynthesis"	HORMONE-SYN	-0.161509756	4.07E-07	0.000252101	0.02
IDL_C_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.158388051	6.63E-07	0.000205479	0.02
IDL_C_percent	PWY-241	"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	Photosynthesis	0.160317782	4.83E-07	0.000230769	0.02
IDL_FC_percent	PWY-7383	"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)"	Fermentation	0.158360009	6.67E-07	0.000204082	0.02
IDL_TG_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	-0.15895802	6.04E-07	0.000212766	0.02
IDL_TG_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	-0.156359441	9.23E-07	0.000232558	0.02
L_LDL_C_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.15693068	8.41E-07	0.000239521	0.02
M_LDL_PL_percent	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	-0.157090814	8.20E-07	0.000242424	0.02
S_LDL_C_percent	PWY-241	"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	Photosynthesis	0.15790017	7.18E-07	2.00E-04	0.02
S_LDL_TG_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.157709184	7.41E-07	0.000193548	0.02
L_HDL_FC_percent	P241-PWY	P241-PWY: coenzyme B biosynthesis	Cofactor-Biosynthesis	0.157635178	7.50E-07	0.000191083	0.02
L_HDL_FC_percent	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.159600558	5.44E-07	0.000218978	0.02
VLDL_D	PWY0-1586	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	Cell Structures Biosynthesis	0.157675702	7.45E-07	0.000192308	0.02
VLDL_D	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	-0.157083361	8.21E-07	0.000240964	0.02
VLDL_TG	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.160651482	4.57E-07	0.000234375	0.02
LA_FA_ratio	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	0.157712686	7.41E-07	0.000194805	0.02
FAw6_FA_ratio	PWY-5484	PWY-5484: glycolysis II (from fructose 6-phosphate)	Glycolysis	0.15638021	9.19E-07	0.000233918	0.02
PUFA_FA_ratio	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	0.157759458	7.35E-07	0.000196078	0.02
PUFA_FA_ratio	PWY0-1586	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	Cell Structures Biosynthesis	-0.160808999	4.45E-07	0.00024	0.02
PUFA_FA_ratio	TRNA-CHARGING-PWY	TRNA-CHARGING-PWY: tRNA charging	Aminoacyl-tRNAs-Charging	0.161532816	3.95E-07	0.000258621	0.02
PUFA_FA_ratio	PWY-5484	PWY-5484: glycolysis II (from fructose 6-phosphate)	Glycolysis	0.1580924	6.96E-07	0.000201342	0.02
XXL_VLDL_C	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.153390833	1.48E-06	0.000275229	0.03
XXL_VLDL_FC	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.153606539	1.43E-06	0.00027907	0.03
XL_VLDL_CE	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.154530065	1.24E-06	0.00025	0.03
XL_VLDL_CE	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.152525072	1.70E-06	0.00026087	0.03
L_VLDL_P	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	-0.152416289	1.73E-06	0.000258621	0.03
L_VLDL_TG	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	-0.154926405	1.16E-06	0.000257732	0.03
